nuvirdi;teg_eign;matssvaedi;ibm2
 18636;Íbúðareign;200; 117
 17533;Íbúðareign; 70; 679
 14472;Íbúðareign; 20; 457
 14850;Íbúðareign;200; 781
 20831;Íbúðareign; 70; 874
 17134;Íbúðareign;220; 692
 65933;Einbýlishús;280;1971
 23500;Íbúðareign; 90; 854
 24503;Íbúðareign;100;1008
 19969;Íbúðareign; 72; 786
 30958;Íbúðareign; 72;1232
 36386;Íbúðareign;100;1194
 31468;Íbúðareign; 90; 949
 22000;Íbúðareign;150;1067
 17434;Íbúðareign;200; 967
 21000;Íbúðareign; 85; 803
 24742;Íbúðareign;130; 112
 20182;Íbúðareign;130; 106
 14790;Íbúðareign;161; 577
 15717;Íbúðareign; 11; 531
 18438;Íbúðareign; 90; 773
 30480;Íbúðareign; 70; 903
 34481;Íbúðareign; 91;1273
 26945;Íbúðareign;100;1031
 13943;Íbúðareign; 80; 517
 16505;Íbúðareign;160; 678
 23800;Íbúðareign;100;1058
 15100;Íbúðareign; 20; 632
 22473;Íbúðareign;140; 954
 21636;Íbúðareign; 90; 848
 63238;Einbýlishús; 25;1541
 33891;Einbýlishús;100;1187
 26073;Íbúðareign;130; 923
 17527;Íbúðareign; 25; 578
 12274;Íbúðareign;160; 382
 24875;Íbúðareign; 85; 892
 14600;Íbúðareign;150; 672
 26410;Íbúðareign;180;1072
 27834;Íbúðareign; 90; 945
 32265;Íbúðareign; 90; 998
 46820;Einbýlishús;120; 156
 19986;Íbúðareign; 11; 753
 25069;Íbúðareign; 20;1157
 15478;Íbúðareign; 20;  61
 26637;Íbúðareign; 20;1157
 20381;Íbúðareign;210; 656
 31697;Íbúðareign;281;1311
 21032;Íbúðareign;200;1148
 28723;Íbúðareign;100; 109
 24969;Íbúðareign; 20; 825
 12902;Íbúðareign; 80; 517
 25233;Íbúðareign; 20; 688
 16830;Íbúðareign; 91; 681
 13000;Íbúðareign; 80; 612
 23986;Íbúðareign; 72; 855
 22335;Íbúðareign;150;1067
 26501;Íbúðareign;130; 883
 25353;Íbúðareign;100; 792
 27924;Íbúðareign; 90; 804
 35309;Íbúðareign;100;1489
 22469;Íbúðareign;130;  88
 26893;Íbúðareign;100; 933
 18349;Íbúðareign; 91; 827
 15360;Íbúðareign; 72; 565
 36824;Einbýlishús;100;1599
108148;Einbýlishús; 25;3523
 21558;Íbúðareign;220;  83
 24389;Íbúðareign; 91; 952
 19484;Íbúðareign; 90; 594
 26964;Íbúðareign; 72; 851
 16382;Íbúðareign;100; 691
 16579;Íbúðareign; 90; 566
 14116;Íbúðareign;170; 641
 33645;Íbúðareign; 72; 939
 18225;Íbúðareign; 11; 662
 21082;Íbúðareign;130;1019
 31289;Íbúðareign; 72;1099
 23086;Íbúðareign; 70; 818
 26905;Íbúðareign; 20; 876
 22700;Íbúðareign;100; 886
 18318;Íbúðareign; 11;  73
 17700;Íbúðareign;100; 473
 18164;Íbúðareign; 72; 551
 22998;Íbúðareign;120; 974
 15383;Íbúðareign;210; 566
 35794;Einbýlishús;100;2198
 35499;Íbúðareign;280;1227
 54096;Íbúðareign; 31;2103
 21425;Íbúðareign;120; 744
 30446;Íbúðareign;110; 100
 15809;Íbúðareign; 72; 573
 28768;Íbúðareign;100;1152
 17950;Íbúðareign;200;1052
 18178;Íbúðareign; 72; 562
 30803;Íbúðareign;281;1174
 22429;Íbúðareign; 80; 827
 13562;Íbúðareign;200;  72
 20916;Íbúðareign;200;1257
 22418;Íbúðareign;130; 883
 22028;Íbúðareign;130; 852
